actID	 scaleF_during_test 	 scaleF_updated 	 scaleF_repeated
424 	 0.99999 	 0.98606 	 0.00000
425 	 0.00000 	 0.00000 	 0.00000
427 	 0.00000 	 0.00000 	 0.00000
428 	 0.00000 	 0.00000 	 0.00000
429 	 0.00000 	 0.00000 	 0.00000
430 	 0.00000 	 0.00000 	 0.00000
431 	 0.00000 	 0.00000 	 0.00000
432 	 0.00000 	 0.00000 	 0.00000
433 	 0.98700 	 0.98698 	 0.00000
434 	 0.00000 	 0.00000 	 0.00000
435 	 0.00000 	 0.00000 	 0.00000
436 	 0.00000 	 0.00000 	 0.00000
437 	 0.00000 	 0.00000 	 0.00000
438 	 0.00000 	 0.00000 	 0.00000
439 	 0.00000 	 0.00000 	 0.00000
440 	 0.88888 	 0.00000 	 0.00000
441 	 0.00000 	 0.00000 	 0.00000
442 	 0.00000 	 0.00000 	 0.00000
443 	 0.00000 	 0.00000 	 0.00000
