initialOptimizedForces,appliedForces,staticForces,balanceForces,bendingForces
1122.30,1127.68,10.60,-8.00,2.78
1263.50,1249.20,13.10,-8.52,-18.88
1331.70,1309.93,3.30,-8.46,-16.61
1023.20,1008.19,-13.30,-6.12,4.41
1023.40,983.25,-6.80,-7.94,-25.41
1290.30,1272.37,2.60,-9.51,-11.02
1275.40,1262.53,9.90,-8.91,-13.86
1125.30,1107.98,8.50,-7.43,-18.39
1105.60,1084.94,-1.00,-6.89,-12.77
1263.60,1204.58,-10.60,-10.12,-38.31
1336.60,1304.71,-5.00,-10.19,-16.70
1080.00,1072.88,2.80,-7.81,-2.11
1466.00,1460.54,7.40,-10.04,-2.82
999.73,988.80,6.80,-6.55,-11.18
1251.50,1206.14,-5.80,-10.25,-29.31
1257.70,1233.97,-6.10,-9.81,-7.82
777.31,778.15,-1.40,-5.75,7.99
1263.00,1278.53,2.50,-8.98,22.01
1170.00,1149.14,-0.20,-9.54,-11.11
1107.80,1110.27,-4.20,-8.56,15.23
524.83,546.81,-2.50,-3.89,28.37
