1.126,4.0187,3.7964e-08,1
4.0433,1.0342,-1.1119e-07,1
4.0433,-1.0342,-3.1108e-08,1
2.9173,-2.9845,1.5291e-08,1
1.126,-4.0187,2.6078e-08,1
-1.126,-4.0187,-7.0714e-08,1
-2.9173,-2.9845,-1.2135e-07,1
-4.0433,-1.0342,-1.067e-07,1
-4.0433,1.0342,2.4157e-08,1
-2.9173,2.9845,5.7879e-08,1
-1.126,4.0187,1.0551e-07,1
2.9173,2.9845,-4.8145e-08,1
1.6627,3.828,5.6773e-09,1
3.6144,2.0867,-7.7763e-08,1
4.1465,0.47403,-1.195e-07,1
3.6144,-2.0867,2.1099e-08,1
4.1465,-0.47403,-4.9101e-08,1
2.4838,-3.354,1.989e-08,1
1.5396e-09,-4.1735,-2.3819e-08,1
1.6627,-3.828,3.2342e-08,1
-1.6627,-3.828,-9.4227e-08,1
-3.6144,-2.0867,-1.3676e-07,1
-2.4838,-3.354,-1.0814e-07,1
-4.1465,-0.47403,-7.869e-08,1
-3.6144,2.0867,6.6397e-08,1
-4.1465,0.47403,-2.587e-08,1
-2.4838,3.354,7.4752e-08,1
-1.54e-09,4.1735,8.6361e-08,1
-1.6627,3.828,9.2138e-08,1
2.4838,3.354,-3.0763e-08,1
1.4868,3.8997,2.3969e-08,1
4.1206,0.66226,-1.2516e-07,1
4.1206,-0.66226,-3.748e-08,1
2.6338,-3.2374,1.9345e-08,1
1.4868,-3.8997,3.0141e-08,1
-1.4868,-3.8997,-9.6911e-08,1
-2.6338,-3.2374,-1.1331e-07,1
-4.1206,-0.66226,-9.4118e-08,1
-4.1206,0.66226,-4.431e-10,1
-2.6338,3.2374,7.5893e-08,1
-1.4868,3.8997,9.3238e-08,1
2.6338,3.2374,-5.2694e-08,1
0.37952,4.1562,5.9886e-08,1
3.7891,1.7494,-7.6988e-08,1
3.7891,-1.7494,1.0735e-08,1
3.4096,-2.4068,4.0489e-09,1
0.37952,-4.1562,-1.667e-10,1
-0.37952,-4.1562,-2.8581e-08,1
-3.4096,-2.4068,-1.4326e-07,1
-3.7891,-1.7494,-1.2815e-07,1
-3.7891,1.7494,5.6129e-08,1
-3.4096,2.4068,5.4692e-08,1
-0.37952,4.1562,1.132e-07,1
3.4096,2.4068,-6.2466e-08,1
1.3077,3.9633,3.5053e-08,1
1.8352,3.7483,-6.7764e-09,1
4.0862,0.84912,-1.206e-07,1
4.1638,0.28481,-9.3435e-08,1
4.0862,-0.84912,-3.4139e-08,1
